{ 1, 375978865285289, 0.045505375, -0.15567628, 9.872271
},{ 3, 375978865285289, -0.0073119965, 0.007886015, -0.0065265363
},{ 1, 375978867825833, -0.15328126, -0.13172609, 9.841136
},{ 3, 375978867825833, -0.0014530421, 0.013212336, -0.0065265363
},{ 1, 375978870366377, -0.035925295, -0.13651612, 9.7621
},{ 3, 375978870366377, -0.013170952, -0.0038318941, -0.0065265363
},{ 1, 375978872906921, -0.009580079, -0.19878663, 9.793235
},{ 3, 375978872906921, -0.009975158, 0.0068207504, -0.001200214
},{ 1, 375978875447465, 0.011975098, -0.12454102, 9.850716
},{ 3, 375978875447465, 0.006003809, -0.003299262, -0.010254961
},{ 1, 375978877988009, 0.009580079, -0.23950197, 9.798025
},{ 3, 375978877988009, -0.0057141, -0.0038318941, -0.0022654785
},{ 1, 375978880528553, -0.0023950196, -0.15088624, 9.798025
},{ 3, 375978880528553, -0.008909894, 0.008418647, -0.010254961
},{ 1, 375978883069097, 0.0, -0.13172609, 9.867481
},{ 3, 375978883069097, 0.007601706, 0.0020270604, -0.0043960074
},{ 2, 375978883069097, 22.95, 24.300001, -49.350002
},{ 1, 375978885609641, -0.06227051, -0.16765137, 9.7740755
},{ 3, 375978885609641, -0.007844629, -0.0017013652, -0.011320227
},{ 1, 375978888150185, -0.011975098, -0.07903565, 9.865086
},{ 3, 375978888150185, -0.0067793643, 0.0014944281, 3.9768266E-4
},{ 1, 375978890690729, 0.035925295, -0.040715333, 9.733359
},{ 3, 375978890690729, 0.0022753833, -6.361008E-4, -0.003330743
},{ 1, 375978893231273, 0.05269043, -0.13172609, 9.865086
},{ 3, 375978893231273, 0.0017427512, 0.007886015, -0.003330743
},{ 1, 375978895771689, -0.016765138, -0.17962648, 9.867481
},{ 3, 375978895771689, 0.008134337, 0.0025596926, 0.006256637
},{ 1, 375978898312233, 0.016765138, -0.13651612, 9.75731
},{ 3, 375978898312233, 0.0017427512, 4.2916363E-4, -0.001200214
},{ 1, 375978900852777, -0.0023950196, -0.13891114, 9.807606
},{ 3, 375978900852777, -0.0073119965, -0.009158216, -0.0017328463
},{ 1, 375978903393321, -0.023950197, -0.14130616, 9.826766
},{ 3, 375978903393321, 0.001210119, 4.2916363E-4, -0.001200214
